The total number of words in the novel is 25424
The total number of unique words is 23049
The total number of words that are not unique is 2375
i, 26 Art spoken ever and anon!
some, 39 Art spoken ever and anon!
year, 4 Art spoken ever and anon!
elder, 1 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
who, 67 Art spoken ever and anon!
yet, 53 Art spoken ever and anon!
is, 219 Art spoken ever and anon!
no, 154 Art spoken ever and anon!
dearer, 4 Ne'er spoken ever!
in, 296 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
account, 1 Art spoken ever and anon!
though, 22 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
knave, 19 Art spoken ever and anon!
came, 14 Art spoken ever and anon!
something, 8 Art spoken ever and anon!
saucily, 2 Art spoken ever and anon!
into, 22 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
world, 20 Art spoken ever and anon!
before, 23 Art spoken ever and anon!
he, 172 Art spoken ever and anon!
was, 51 Art spoken ever and anon!
sent, 5 Art spoken ever and anon!
for, 154 Art spoken ever and anon!
yet, 53 Art spoken ever and anon!
was, 51 Art spoken ever and anon!
his, 210 Art spoken ever and anon!
mother, 4 Art spoken ever and anon!
fair, 10 Art spoken ever and anon!
there, 54 Art spoken ever and anon!
was, 51 Art spoken ever and anon!
good, 84 Art spoken ever and anon!
sport, 3 Art spoken ever and anon!
at, 62 Art spoken ever and anon!
his, 210 Art spoken ever and anon!
making, 3 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
whoreson, 5 Art spoken ever and anon!
must, 48 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
acknowledged, 2 Art spoken ever and anon!
do, 116 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
know, 75 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
noble, 19 Art spoken ever and anon!
gentleman, 56 Art spoken ever and anon!
edmund, 31 Art spoken ever and anon!
no, 154 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
kent, 19 Art spoken ever and anon!
remember, 8 Art spoken ever and anon!
him, 197 Art spoken ever and anon!
hereafter, 1 Art spoken ever and anon!
as, 121 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
honourable, 2 Ne'er spoken ever!
friend, 19 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
services, 5 Ne'er spoken ever!
to, 564 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
lordship, 3 Art spoken ever and anon!
must, 48 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
sue, 1 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
know, 75 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
better, 29 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
study, 3 Art spoken ever and anon!
deserving, 2 Art spoken ever and anon!
he, 172 Art spoken ever and anon!
hath, 56 Art spoken ever and anon!
been, 30 Art spoken ever and anon!
out, 67 Art spoken ever and anon!
nine, 1 Art spoken ever and anon!
years, 4 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
away, 37 Art spoken ever and anon!
he, 172 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
again, 21 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
king, 65 Art spoken ever and anon!
is, 219 Art spoken ever and anon!
coming, 9 Art spoken ever and anon!
sennet, 1 Art spoken ever and anon!
enter, 67 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
attendants, 7 Ne'er spoken ever!
attend, 6 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
lords, 7 Ne'er spoken ever!
of, 465 Art spoken ever and anon!
france, 22 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
burgundy, 12 Art spoken ever and anon!
gloucester, 23 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
liege, 2 Art spoken ever and anon!
exeunt, 34 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
meantime, 1 Ne'er spoken ever!
we, 76 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
express, 2 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
darker, 1 Ne'er spoken ever!
purpose, 11 Art spoken ever and anon!
give, 41 Art spoken ever and anon!
me, 227 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
map, 1 Art spoken ever and anon!
there, 54 Art spoken ever and anon!
know, 75 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
divided, 1 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
three, 5 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
kingdom, 12 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
tis, 53 Ne'er spoken ever!
our, 115 Art spoken ever and anon!
fast, 2 Art spoken ever and anon!
intent, 6 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
shake, 8 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
cares, 2 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
business, 15 Art spoken ever and anon!
from, 94 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
age, 12 Art spoken ever and anon!
conferring, 1 Ne'er spoken ever!
them, 53 Art spoken ever and anon!
on, 101 Art spoken ever and anon!
younger, 2 Art spoken ever and anon!
strengths, 1 Ne'er spoken ever!
while, 2 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
unburthend, 1 Ne'er spoken ever!
crawl, 1 Art spoken ever and anon!
toward, 7 Art spoken ever and anon!
death, 21 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
son, 27 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
cornwall, 11 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
no, 154 Art spoken ever and anon!
less, 18 Art spoken ever and anon!
loving, 2 Art spoken ever and anon!
son, 27 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
albany, 6 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
hour, 4 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
constant, 2 Art spoken ever and anon!
will, 129 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
publish, 1 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
daughters, 29 Ne'er spoken ever!
several, 2 Art spoken ever and anon!
dowers, 2 Ne'er spoken ever!
that, 347 Art spoken ever and anon!
future, 1 Art spoken ever and anon!
strife, 2 Art spoken ever and anon!
may, 54 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
prevented, 1 Ne'er spoken ever!
now, 78 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
princes, 2 Ne'er spoken ever!
france, 22 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
burgundy, 12 Art spoken ever and anon!
great, 28 Art spoken ever and anon!
rivals, 1 Ne'er spoken ever!
in, 296 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
youngest, 3 Ne'er spoken ever!
daughters, 29 Ne'er spoken ever!
love, 51 Art spoken ever and anon!
long, 13 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
court, 5 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
made, 23 Art spoken ever and anon!
their, 65 Art spoken ever and anon!
amorous, 1 Art spoken ever and anon!
sojourn, 3 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
here, 65 Art spoken ever and anon!
are, 128 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
answerd, 1 Ne'er spoken ever!
tell, 31 Art spoken ever and anon!
me, 227 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
daughters, 29 Ne'er spoken ever!
since, 20 Art spoken ever and anon!
now, 78 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
will, 129 Art spoken ever and anon!
divest, 1 Art spoken ever and anon!
us, 51 Art spoken ever and anon!
both, 20 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
rule, 3 Art spoken ever and anon!
interest, 2 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
territory, 1 Art spoken ever and anon!
cares, 2 Ne'er spoken ever!
of, 465 Art spoken ever and anon!
state, 10 Art spoken ever and anon!
which, 78 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
say, 37 Art spoken ever and anon!
doth, 18 Ne'er spoken ever!
love, 51 Art spoken ever and anon!
us, 51 Art spoken ever and anon!
most, 54 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
we, 76 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
largest, 1 Ne'er spoken ever!
bounty, 2 Art spoken ever and anon!
may, 54 Art spoken ever and anon!
extend, 1 Art spoken ever and anon!
where, 43 Art spoken ever and anon!
nature, 36 Art spoken ever and anon!
doth, 18 Ne'er spoken ever!
with, 206 Art spoken ever and anon!
merit, 2 Art spoken ever and anon!
challenge, 2 Art spoken ever and anon!
goneril, 11 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
eldestborn, 1 Ne'er spoken ever!
speak, 47 Art spoken ever and anon!
first, 24 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
more, 81 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
words, 9 Ne'er spoken ever!
can, 39 Art spoken ever and anon!
wield, 1 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
matter, 15 Art spoken ever and anon!
dearer, 4 Ne'er spoken ever!
than, 67 Art spoken ever and anon!
eyesight, 1 Art spoken ever and anon!
space, 4 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
liberty, 2 Art spoken ever and anon!
beyond, 2 Art spoken ever and anon!
what, 137 Art spoken ever and anon!
can, 39 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
valued, 2 Art spoken ever and anon!
rich, 3 Art spoken ever and anon!
or, 66 Art spoken ever and anon!
rare, 1 Art spoken ever and anon!
no, 154 Art spoken ever and anon!
less, 18 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
life, 34 Art spoken ever and anon!
with, 206 Art spoken ever and anon!
grace, 20 Art spoken ever and anon!
health, 3 Art spoken ever and anon!
beauty, 2 Art spoken ever and anon!
honour, 10 Ne'er spoken ever!
as, 121 Art spoken ever and anon!
much, 30 Art spoken ever and anon!
as, 121 Art spoken ever and anon!
child, 11 Art spoken ever and anon!
eer, 4 Art spoken ever and anon!
loved, 9 Ne'er spoken ever!
or, 66 Art spoken ever and anon!
father, 66 Art spoken ever and anon!
found, 11 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
makes, 14 Ne'er spoken ever!
breath, 7 Art spoken ever and anon!
poor, 47 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
speech, 9 Art spoken ever and anon!
unable, 1 Art spoken ever and anon!
beyond, 2 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
manner, 2 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
much, 30 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
aside, 13 Art spoken ever and anon!
what, 137 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
cordelia, 21 Art spoken ever and anon!
do, 116 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
silent, 2 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
these, 39 Art spoken ever and anon!
bounds, 1 Ne'er spoken ever!
even, 13 Art spoken ever and anon!
from, 94 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
line, 1 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
with, 206 Art spoken ever and anon!
shadowy, 1 Art spoken ever and anon!
forests, 1 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
with, 206 Art spoken ever and anon!
champains, 1 Ne'er spoken ever!
richd, 1 Ne'er spoken ever!
with, 206 Art spoken ever and anon!
plenteous, 1 Art spoken ever and anon!
rivers, 1 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
wideskirted, 1 Ne'er spoken ever!
meads, 1 Ne'er spoken ever!
we, 76 Art spoken ever and anon!
make, 53 Art spoken ever and anon!
thee, 139 Art spoken ever and anon!
lady, 20 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
thine, 24 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
albanys, 4 Ne'er spoken ever!
issue, 4 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
perpetual, 2 Art spoken ever and anon!
what, 137 Art spoken ever and anon!
says, 7 Ne'er spoken ever!
our, 115 Art spoken ever and anon!
second, 4 Art spoken ever and anon!
daughter, 29 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
dearest, 2 Ne'er spoken ever!
regan, 19 Ne'er spoken ever!
wife, 6 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
cornwall, 11 Ne'er spoken ever!
speak, 47 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
am, 86 Art spoken ever and anon!
made, 23 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
selfsame, 2 Art spoken ever and anon!
metal, 1 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
sister, 31 Art spoken ever and anon!
is, 219 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
prize, 2 Art spoken ever and anon!
me, 227 Art spoken ever and anon!
at, 62 Art spoken ever and anon!
her, 132 Art spoken ever and anon!
worth, 9 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
true, 15 Art spoken ever and anon!
heart, 47 Art spoken ever and anon!
find, 17 Art spoken ever and anon!
she, 54 Art spoken ever and anon!
names, 4 Ne'er spoken ever!
my, 457 Art spoken ever and anon!
very, 23 Art spoken ever and anon!
deed, 1 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
only, 7 Art spoken ever and anon!
she, 54 Art spoken ever and anon!
comes, 22 Art spoken ever and anon!
too, 34 Art spoken ever and anon!
short, 4 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
profess, 3 Art spoken ever and anon!
myself, 12 Art spoken ever and anon!
an, 48 Art spoken ever and anon!
enemy, 4 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
other, 23 Art spoken ever and anon!
joys, 1 Ne'er spoken ever!
which, 78 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
most, 54 Art spoken ever and anon!
precious, 4 Art spoken ever and anon!
square, 1 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
sense, 5 Art spoken ever and anon!
possesses, 2 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
find, 17 Art spoken ever and anon!
am, 86 Art spoken ever and anon!
alone, 7 Art spoken ever and anon!
felicitate, 1 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
dear, 22 Art spoken ever and anon!
highness, 8 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
aside, 13 Art spoken ever and anon!
then, 47 Art spoken ever and anon!
poor, 47 Art spoken ever and anon!
cordelia, 21 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
yet, 53 Art spoken ever and anon!
not, 281 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
since, 20 Art spoken ever and anon!
am, 86 Art spoken ever and anon!
sure, 10 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
loves, 4 Ne'er spoken ever!
more, 81 Art spoken ever and anon!
richer, 2 Ne'er spoken ever!
than, 67 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
tongue, 5 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
thee, 139 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
thine, 24 Art spoken ever and anon!
hereditary, 1 Art spoken ever and anon!
ever, 19 Art spoken ever and anon!
remain, 4 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
ample, 2 Art spoken ever and anon!
third, 9 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
fair, 10 Art spoken ever and anon!
kingdom, 12 Art spoken ever and anon!
no, 154 Art spoken ever and anon!
less, 18 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
space, 4 Art spoken ever and anon!
validity, 1 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
pleasure, 6 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
conferrd, 1 Ne'er spoken ever!
on, 101 Art spoken ever and anon!
goneril, 11 Art spoken ever and anon!
now, 78 Art spoken ever and anon!
our, 115 Art spoken ever and anon!
joy, 3 Art spoken ever and anon!
although, 2 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
last, 8 Art spoken ever and anon!
not, 281 Art spoken ever and anon!
least, 6 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
whose, 24 Art spoken ever and anon!
young, 10 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
vines, 1 Ne'er spoken ever!
of, 465 Art spoken ever and anon!
france, 22 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
milk, 1 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
burgundy, 12 Art spoken ever and anon!
strive, 1 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
be, 167 Art spoken ever and anon!
interessd, 1 Ne'er spoken ever!
what, 137 Art spoken ever and anon!
can, 39 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
say, 37 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
draw, 18 Art spoken ever and anon!
third, 9 Art spoken ever and anon!
more, 81 Art spoken ever and anon!
opulent, 1 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
sisters, 16 Ne'er spoken ever!
speak, 47 Art spoken ever and anon!
nothing, 34 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
nothing, 34 Art spoken ever and anon!
nothing, 34 Art spoken ever and anon!
nothing, 34 Art spoken ever and anon!
will, 129 Art spoken ever and anon!
come, 88 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
nothing, 34 Art spoken ever and anon!
speak, 47 Art spoken ever and anon!
again, 21 Art spoken ever and anon!
unhappy, 2 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
am, 86 Art spoken ever and anon!
cannot, 22 Art spoken ever and anon!
heave, 1 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
heart, 47 Art spoken ever and anon!
into, 22 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
mouth, 6 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
majesty, 8 Art spoken ever and anon!
according, 1 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
bond, 4 Art spoken ever and anon!
nor, 40 Art spoken ever and anon!
more, 81 Art spoken ever and anon!
nor, 40 Art spoken ever and anon!
less, 18 Art spoken ever and anon!
how, 69 Art spoken ever and anon!
how, 69 Art spoken ever and anon!
cordelia, 21 Art spoken ever and anon!
mend, 2 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
speech, 9 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
little, 16 Art spoken ever and anon!
lest, 6 Art spoken ever and anon!
it, 190 Art spoken ever and anon!
may, 54 Art spoken ever and anon!
mar, 5 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
fortunes, 9 Ne'er spoken ever!
good, 84 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
begot, 2 Ne'er spoken ever!
me, 227 Art spoken ever and anon!
bred, 2 Art spoken ever and anon!
me, 227 Art spoken ever and anon!
loved, 9 Ne'er spoken ever!
me, 227 Art spoken ever and anon!
return, 11 Art spoken ever and anon!
those, 13 Art spoken ever and anon!
duties, 3 Ne'er spoken ever!
back, 14 Art spoken ever and anon!
as, 121 Art spoken ever and anon!
are, 128 Art spoken ever and anon!
right, 8 Art spoken ever and anon!
fit, 11 Art spoken ever and anon!
obey, 6 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
most, 54 Art spoken ever and anon!
honour, 10 Ne'er spoken ever!
you, 458 Art spoken ever and anon!
why, 54 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
sisters, 16 Ne'er spoken ever!
husbands, 3 Ne'er spoken ever!
if, 112 Art spoken ever and anon!
they, 63 Art spoken ever and anon!
say, 37 Art spoken ever and anon!
they, 63 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
haply, 1 Art spoken ever and anon!
when, 77 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
wed, 1 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
whose, 24 Art spoken ever and anon!
hand, 26 Art spoken ever and anon!
must, 48 Art spoken ever and anon!
take, 65 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
plight, 2 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
carry, 6 Art spoken ever and anon!
half, 12 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
with, 206 Art spoken ever and anon!
him, 197 Art spoken ever and anon!
half, 12 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
care, 7 Art spoken ever and anon!
and, 733 Art spoken ever and anon!
duty, 9 Art spoken ever and anon!
sure, 10 Art spoken ever and anon!
shall, 97 Art spoken ever and anon!
never, 30 Art spoken ever and anon!
marry, 7 Art spoken ever and anon!
like, 44 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
sisters, 16 Ne'er spoken ever!
to, 564 Art spoken ever and anon!
love, 51 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
father, 66 Art spoken ever and anon!
all, 105 Art spoken ever and anon!
but, 132 Art spoken ever and anon!
goes, 9 Art spoken ever and anon!
thy, 161 Art spoken ever and anon!
heart, 47 Art spoken ever and anon!
with, 206 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
ay, 20 Art spoken ever and anon!
good, 84 Art spoken ever and anon!
